"SYMBOL","ENTREZID","ENSEMBL","GENENAME"
"CCDC58",NA,NA,NA
"OS9","10956","ENSG00000135506","OS9 endoplasmic reticulum lectin"
"YDJC","150223","ENSG00000161179","YdjC chitooligosaccharide deacetylase homolog"
"KIAA2026",NA,NA,NA
"TMEM30B","161291","ENSG00000182107","transmembrane protein 30B"
"DCAF6","55827","ENSG00000143164","DDB1 and CUL4 associated factor 6"
"RAB28","9364","ENSG00000157869","RAB28, member RAS oncogene family"
"VMA21","203547","ENSG00000160131","vacuolar ATPase assembly factor VMA21"
"RNF215","200312","ENSG00000099999","ring finger protein 215"
"MRNIP","51149","ENSG00000161010","MRN complex interacting protein"
"SH3PXD2B","285590","ENSG00000174705","SH3 and PX domains 2B"
"GNG10","2790","ENSG00000242616","G protein subunit gamma 10"
"KAZN","23254","ENSG00000189337","kazrin, periplakin interacting protein"
"RPS13","6207","ENSG00000110700","ribosomal protein S13"
"SORBS3","10174","ENSG00000120896","sorbin and SH3 domain containing 3"
"TPM1","7168","ENSG00000140416","tropomyosin 1"
"SH3BP5","9467","ENSG00000131370","SH3 domain binding protein 5"
"ZBTB16","7704","ENSG00000109906","zinc finger and BTB domain containing 16"
"CMC4","100272147","ENSG00000182712","C-X9-C motif containing 4"
"MTCP1","4515","ENSG00000214827","mature T cell proliferation 1"
"VPS13A","23230","ENSG00000197969","vacuolar protein sorting 13 homolog A"
"SFMBT2","57713","ENSG00000198879","Scm like with four mbt domains 2"
"POLR3H","171568","ENSG00000100413","RNA polymerase III subunit H"
"PFKFB2","5208","ENSG00000123836","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2"
"LRP8","7804","ENSG00000157193","LDL receptor related protein 8"
"BRCC3","79184","ENSG00000185515","BRCA1/BRCA2-containing complex subunit 3"
"VLDLR","7436","ENSG00000147852","very low density lipoprotein receptor"
"DKK3","27122","ENSG00000050165","dickkopf WNT signaling pathway inhibitor 3"
"TFEC","22797","ENSG00000105967","transcription factor EC"
"AIFM3","150209","ENSG00000183773","AIF family member 3"
"SERBP1","26135","ENSG00000142864","SERPINE1 mRNA binding protein 1"
"CORO1B","57175","ENSG00000172725","coronin 1B"
"PCK2","5106","ENSG00000100889","phosphoenolpyruvate carboxykinase 2, mitochondrial"
"FPGS","2356","ENSG00000136877","folylpolyglutamate synthase"
"VPS13C","54832","ENSG00000129003","vacuolar protein sorting 13 homolog C"
"ICE2","79664","ENSG00000128915","interactor of little elongation complex ELL subunit 2"
"MYZAP","100820829","ENSG00000263155","myocardial zonula adherens protein"
"SERF2","10169","ENSG00000140264","small EDRK-rich factor 2"
"FANCD2","2177","ENSG00000144554","FA complementation group D2"
"NME2","4831","ENSG00000243678","NME/NM23 nucleoside diphosphate kinase 2"
"NAE1","8883","ENSG00000159593","NEDD8 activating enzyme E1 subunit 1"
"HAX1","10456","ENSG00000143575","HCLS1 associated protein X-1"
"RPS15","6209","ENSG00000115268","ribosomal protein S15"
"RPS15A","6210","ENSG00000134419","ribosomal protein S15a"
"PUM1","9698","ENSG00000134644","pumilio RNA binding family member 1"
"MYADM","91663","ENSG00000179820","myeloid associated differentiation marker"
"RPS16","6217","ENSG00000105193","ribosomal protein S16"
"RPS17","6218","ENSG00000182774","ribosomal protein S17"
"RPS19","6223","ENSG00000105372","ribosomal protein S19"
"ZSCAN26","7741","ENSG00000197062","zinc finger and SCAN domain containing 26"
"ZNF749","388567","ENSG00000186230","zinc finger protein 749"
"ZNF805","390980","ENSG00000204524","zinc finger protein 805"
"GOLGA8B","440270","ENSG00000215252","golgin A8 family member B"
"IQCB1","9657","ENSG00000173226","IQ motif containing B1"
"ABCC5","10057","ENSG00000114770","ATP binding cassette subfamily C member 5"
"RPS20","6224","ENSG00000008988","ribosomal protein S20"
"HNMT","3176","ENSG00000150540","histamine N-methyltransferase"
"ARF1","375","ENSG00000143761","ARF GTPase 1"
"TM2D2","83877","ENSG00000169490","TM2 domain containing 2"
"SBK1","388228","ENSG00000188322","SH3 domain binding kinase 1"
"RTL5","340526","ENSG00000242732","retrotransposon Gag like 5"
"RGPD1","400966","ENSG00000187627","RANBP2 like and GRIP domain containing 1"
"MSS51","118490","ENSG00000166343","MSS51 mitochondrial translational activator"
"ZNF772","400720","ENSG00000197128","zinc finger protein 772"
"HIST2H2BF",NA,NA,NA
"XCR1","2829","ENSG00000173578","X-C motif chemokine receptor 1"
"CANX","821","ENSG00000127022","calnexin"
"SH3KBP1","30011","ENSG00000147010","SH3 domain containing kinase binding protein 1"
"LIN52","91750","ENSG00000205659","lin-52 DREAM MuvB core complex component"
"ACTL10","170487","ENSG00000288649","actin like 10"
"LRRC24","441381","ENSG00000254402","leucine rich repeat containing 24"
"FBXO48","554251","ENSG00000204923","F-box protein 48"
"ZNF688","146542","ENSG00000229809","zinc finger protein 688"
"NBN","4683","ENSG00000104320","nibrin"
"MECR","51102","ENSG00000116353","mitochondrial trans-2-enoyl-CoA reductase"
"BCL7A","605","ENSG00000110987","BAF chromatin remodeling complex subunit BCL7A"
"TNRC6B","23112","ENSG00000100354","trinucleotide repeat containing adaptor 6B"
"CD82","3732","ENSG00000085117","CD82 molecule"
"SLC6A9","6536","ENSG00000196517","solute carrier family 6 member 9"
"TGFBR2","7048","ENSG00000163513","transforming growth factor beta receptor 2"
"CEACAM1","634","ENSG00000079385","CEA cell adhesion molecule 1"
"CBWD5",NA,NA,NA
"EXOC1","55763","ENSG00000090989","exocyst complex component 1"
"MINK1","50488","ENSG00000141503","misshapen like kinase 1"
"SLC2A11","66035","ENSG00000133460","solute carrier family 2 member 11"
"FNBP1L","54874","ENSG00000137942","formin binding protein 1 like"
"SC5D","6309","ENSG00000109929","sterol-C5-desaturase"
"BRMS1","25855","ENSG00000174744","BRMS1 transcriptional repressor and anoikis regulator"
"ARPC4","10093","ENSG00000241553","actin related protein 2/3 complex subunit 4"
"RPS21","6227","ENSG00000171858","ribosomal protein S21"
"CELF2","10659","ENSG00000048740","CUGBP Elav-like family member 2"
"MBP","4155","ENSG00000197971","myelin basic protein"
"ABCF1","23","ENSG00000204574","ATP binding cassette subfamily F member 1"
"CSNK1A1","1452","ENSG00000113712","casein kinase 1 alpha 1"
"ADAR","103","ENSG00000160710","adenosine deaminase RNA specific"
"AFF3","3899","ENSG00000144218","ALF transcription elongation factor 3"
"CD74","972","ENSG00000019582","CD74 molecule"
"ADGRE5","976","ENSG00000123146","adhesion G protein-coupled receptor E5"
"CES1","1066","ENSG00000198848","carboxylesterase 1"
"CHI3L2","1117","ENSG00000064886","chitinase 3 like 2"
"U2AF1","7307","ENSG00000160201","U2 small nuclear RNA auxiliary factor 1"
"AP2M1","1173","ENSG00000161203","adaptor related protein complex 2 subunit mu 1"
"TSPAN4","7106","ENSG00000214063","tetraspanin 4"
"IRAK1","3654","ENSG00000184216","interleukin 1 receptor associated kinase 1"
"TAF5L","27097","ENSG00000135801","TATA-box binding protein associated factor 5 like"
"DUT","1854","ENSG00000128951","deoxyuridine triphosphatase"
"CXorf65","158830","ENSG00000204165","chromosome X open reading frame 65"
"RAB12","201475","ENSG00000206418","RAB12, member RAS oncogene family"
"ANO6","196527","ENSG00000177119","anoctamin 6"
"VEGFA","7422","ENSG00000112715","vascular endothelial growth factor A"
"SPAG16","79582","ENSG00000144451","sperm associated antigen 16"
"NDEL1","81565","ENSG00000166579","nudE neurodevelopment protein 1 like 1"
"AMMECR1","9949","ENSG00000101935","AMMECR nuclear protein 1"
"ARFIP1","27236","ENSG00000164144","ARF interacting protein 1"
"CELF1","10658","ENSG00000149187","CUGBP Elav-like family member 1"
"ARHGAP30","257106","ENSG00000186517","Rho GTPase activating protein 30"
"ARRDC2","27106","ENSG00000105643","arrestin domain containing 2"
"ARHGAP24","83478","ENSG00000138639","Rho GTPase activating protein 24"
"VRK3","51231","ENSG00000105053","VRK serine/threonine kinase 3"
"ABHD17B","51104","ENSG00000107362","abhydrolase domain containing 17B, depalmitoylase"
"TTLL3","26140","ENSG00000214021","tubulin tyrosine ligase like 3"
"RPS23","6228","ENSG00000186468","ribosomal protein S23"
"RPS24","6229","ENSG00000138326","ribosomal protein S24"
"RPS25","6230","ENSG00000118181","ribosomal protein S25"
"CCM2","83605","ENSG00000136280","CCM2 scaffold protein"
"TCAIM","285343","ENSG00000179152","T cell activation inhibitor, mitochondrial"
"KCTD21","283219","ENSG00000188997","potassium channel tetramerization domain containing 21"
"C6orf120","387263","ENSG00000185127","chromosome 6 open reading frame 120"
"AHDC1","27245","ENSG00000126705","AT-hook DNA binding motif containing 1"
"PLEKHG1","57480","ENSG00000120278","pleckstrin homology and RhoGEF domain containing G1"
"CPTP","80772","ENSG00000224051","ceramide-1-phosphate transfer protein"
"PGAM4","441531","ENSG00000226784","phosphoglycerate mutase family member 4"
"WDR45","11152","ENSG00000196998","WD repeat domain 45"
"ZFAT","57623","ENSG00000066827","zinc finger and AT-hook domain containing"
"DCAF4L1","285429","ENSG00000182308","DDB1 and CUL4 associated factor 4 like 1"
"METTL17","64745","ENSG00000165792","methyltransferase like 17"
"ZNF181","339318","ENSG00000197841","zinc finger protein 181"
"SLC10A7","84068","ENSG00000120519","solute carrier family 10 member 7"
"RPS26","6231","ENSG00000197728","ribosomal protein S26"
"RPS29","6235","ENSG00000213741","ribosomal protein S29"
"AP2B1","163","ENSG00000006125","adaptor related protein complex 2 subunit beta 1"
"AP1G1","164","ENSG00000166747","adaptor related protein complex 1 subunit gamma 1"
"ARHGAP5","394","ENSG00000100852","Rho GTPase activating protein 5"
"ARNTL",NA,NA,NA
"ATF3","467","ENSG00000162772","activating transcription factor 3"
"SPN","6693","ENSG00000197471","sialophorin"
"RPS27","6232","ENSG00000177954","ribosomal protein S27"
"COX19","90639","ENSG00000240230","cytochrome c oxidase assembly factor COX19"
"ZNF451","26036","ENSG00000112200","zinc finger protein 451"
"MS4A3","932","ENSG00000149516","membrane spanning 4-domains A3"
"CYB5RL","606495","ENSG00000215883","cytochrome b5 reductase like"
"RAB24","53917","ENSG00000169228","RAB24, member RAS oncogene family"
"RUNX3","864","ENSG00000020633","RUNX family transcription factor 3"
"CTNS","1497","ENSG00000040531","cystinosin, lysosomal cystine transporter"
"IFIT3","3437","ENSG00000119917","interferon induced protein with tetratricopeptide repeats 3"
"SRSF7","6432","ENSG00000115875","serine and arginine rich splicing factor 7"
"TP53BP2","7159","ENSG00000143514","tumor protein p53 binding protein 2"
"PLAA","9373","ENSG00000137055","phospholipase A2 activating protein"
"HHLA3",NA,NA,NA
"SCMH1","22955","ENSG00000010803","Scm polycomb group protein homolog 1"
"PLD3","23646","ENSG00000105223","phospholipase D family member 3"
"PRPF40B","25766","ENSG00000110844","pre-mRNA processing factor 40 homolog B"
"GASK1B","51313","ENSG00000164125","golgi associated kinase 1B"
"NT5DC3","51559","ENSG00000111696","5'-nucleotidase domain containing 3"
"ELP6","54859","ENSG00000163832","elongator acetyltransferase complex subunit 6"
"RNLS","55328","ENSG00000184719","renalase, FAD dependent amine oxidase"
"KLHL7","55975","ENSG00000122550","kelch like family member 7"
"ERGIC1","57222","ENSG00000113719","endoplasmic reticulum-golgi intermediate compartment 1"
"TRMT11","60487","ENSG00000066651","tRNA methyltransferase 11 homolog"
"MCUR1","63933","ENSG00000050393","mitochondrial calcium uniporter regulator 1"
"INF2","64423","ENSG00000203485","inverted formin 2"
"NABP1","64859","ENSG00000173559","nucleic acid binding protein 1"
"CRELD1","78987","ENSG00000163703","cysteine rich with EGF like domains 1"
"DHRS12","79758","ENSG00000102796","dehydrogenase/reductase 12"
"GSTCD","79807","ENSG00000138780","glutathione S-transferase C-terminal domain containing"
"ZNF613","79898","ENSG00000176024","zinc finger protein 613"
"DNAJB14","79982","ENSG00000164031","DnaJ heat shock protein family (Hsp40) member B14"
"DDX59","83479","ENSG00000118197","DEAD-box helicase 59"
"C19orf12","83636","ENSG00000131943","chromosome 19 open reading frame 12"
"MRI1","84245","ENSG00000037757","methylthioribose-1-phosphate isomerase 1"
"YTHDC1","91746","ENSG00000083896","YTH N6-methyladenosine RNA binding protein C1"
"CALML4","91860","ENSG00000129007","calmodulin like 4"
"FDX2","112812","ENSG00000267673","ferredoxin 2"
"TMEM150A","129303","ENSG00000168890","transmembrane protein 150A"
"TIPRL","261726","ENSG00000143155","TOR signaling pathway regulator"
"LIMK2","3985","ENSG00000182541","LIM domain kinase 2"
"MAF","4094","ENSG00000178573","MAF bZIP transcription factor"
"CSNK1G3","1456","ENSG00000151292","casein kinase 1 gamma 3"
"SERPINB8","5271","ENSG00000166401","serpin family B member 8"
"RPS28","6234","ENSG00000233927","ribosomal protein S28"
"STXBP1","6812","ENSG00000136854","syntaxin binding protein 1"
"MMP28","79148","ENSG00000271447","matrix metallopeptidase 28"
"RCE1","9986","ENSG00000173653","Ras converting CAAX endopeptidase 1"
"TMPO","7112","ENSG00000120802","thymopoietin"
"UBE2V1","7335","ENSG00000244687","ubiquitin conjugating enzyme E2 V1"
"SLC35A2","7355","ENSG00000102100","solute carrier family 35 member A2"
"ZNF207","7756","ENSG00000010244","zinc finger protein 207"
"STK24","8428","ENSG00000102572","serine/threonine kinase 24"
"MICOS10","440574","ENSG00000173436","mitochondrial contact site and cristae organizing system subunit 10"
"SPINT1","6692","ENSG00000166145","serine peptidase inhibitor, Kunitz type 1"
"ZNF226","7769","ENSG00000167380","zinc finger protein 226"
"PQBP1","10084","ENSG00000102103","polyglutamine binding protein 1"
"PLGLB1","5343","ENSG00000183281","plasminogen like B1"
"HNRNPH2","3188","ENSG00000126945","heterogeneous nuclear ribonucleoprotein H2"
"PJA1","64219","ENSG00000181191","praja ring finger ubiquitin ligase 1"
"OAS1","4938","ENSG00000089127","2'-5'-oligoadenylate synthetase 1"
"USP48","84196","ENSG00000090686","ubiquitin specific peptidase 48"
"OAS2","4939","ENSG00000111335","2'-5'-oligoadenylate synthetase 2"
"KYNU","8942","ENSG00000115919","kynureninase"
"CBFA2T2","9139","ENSG00000078699","CBFA2/RUNX1 partner transcriptional co-repressor 2"
"RPAIN","84268","ENSG00000129197","RPA interacting protein"
"FBXO7","25793","ENSG00000100225","F-box protein 7"
"EXTL2","2135","ENSG00000162694","exostosin like glycosyltransferase 2"
"TMEM259","91304","ENSG00000182087","transmembrane protein 259"
"CYFIP1","23191","ENSG00000273749","cytoplasmic FMR1 interacting protein 1"
"FAIM","55179","ENSG00000158234","Fas apoptotic inhibitory molecule"
"GLUL","2752","ENSG00000135821","glutamate-ammonia ligase"
"GPR155","151556","ENSG00000163328","G protein-coupled receptor 155"
"CYBC1","79415","ENSG00000178927","cytochrome b-245 chaperone 1"
"MTERF2","80298","ENSG00000120832","mitochondrial transcription termination factor 2"
"NLRP1","22861","ENSG00000091592","NLR family pyrin domain containing 1"
"MYCL","4610","ENSG00000116990","MYCL proto-oncogene, bHLH transcription factor"
"MACROD2","140733","ENSG00000172264","mono-ADP ribosylhydrolase 2"
"NGRN","51335","ENSG00000182768","neugrin, neurite outgrowth associated"
"PAIP2","51247","ENSG00000120727","poly(A) binding protein interacting protein 2"
"SRGAP3","9901","ENSG00000196220","SLIT-ROBO Rho GTPase activating protein 3"
"SAR1B","51128","ENSG00000152700","secretion associated Ras related GTPase 1B"
"CSTF3","1479","ENSG00000176102","cleavage stimulation factor subunit 3"
"WIPI2","26100","ENSG00000157954","WD repeat domain, phosphoinositide interacting 2"
"CSTF1","1477","ENSG00000101138","cleavage stimulation factor subunit 1"
"BABAM1","29086","ENSG00000105393","BRISC and BRCA1 A complex member 1"
"TOM1L2","146691","ENSG00000175662","target of myb1 like 2 membrane trafficking protein"
"SPECC1","92521","ENSG00000128487","sperm antigen with calponin homology and coiled-coil domains 1"
"PPM1B","5495","ENSG00000138032","protein phosphatase, Mg2+/Mn2+ dependent 1B"
"PHF12","57649","ENSG00000109118","PHD finger protein 12"
"RHOT1","55288","ENSG00000126858","ras homolog family member T1"
"AMZ2","51321","ENSG00000196704","archaelysin family metallopeptidase 2"
"SGK3","23678","ENSG00000104205","serum/glucocorticoid regulated kinase family member 3"
"MYO19","80179","ENSG00000278259","myosin XIX"
"PRKCZ","5590","ENSG00000067606","protein kinase C zeta"
"ACOT9","23597","ENSG00000123130","acyl-CoA thioesterase 9"
"BBS9","27241","ENSG00000122507","Bardet-Biedl syndrome 9"
"LY9","4063","ENSG00000122224","lymphocyte antigen 9"
"NOP2","4839","ENSG00000111641","NOP2 nucleolar protein"
"ZNF404","342908","ENSG00000176222","zinc finger protein 404"
"DCLRE1C","64421","ENSG00000152457","DNA cross-link repair 1C"
"SMAGP","57228","ENSG00000170545","small cell adhesion glycoprotein"
"TRAF5","7188","ENSG00000082512","TNF receptor associated factor 5"
"TIAL1","7073","ENSG00000151923","TIA1 cytotoxic granule associated RNA binding protein like 1"
"UBA52","7311","ENSG00000221983","ubiquitin A-52 residue ribosomal protein fusion product 1"
"RRM1","6240","ENSG00000167325","ribonucleotide reductase catalytic subunit M1"
"DMAP1","55929","ENSG00000178028","DNA methyltransferase 1 associated protein 1"
"ERP29","10961","ENSG00000089248","endoplasmic reticulum protein 29"
"EIF2B4","8890","ENSG00000115211","eukaryotic translation initiation factor 2B subunit delta"
"EXOSC9","5393","ENSG00000123737","exosome component 9"
"NHP2","55651","ENSG00000145912","NHP2 ribonucleoprotein"
"ITPRIPL2","162073","ENSG00000205730","ITPRIP like 2"
"RETREG1","54463","ENSG00000154153","reticulophagy regulator 1"
"RPL14","9045","ENSG00000188846","ribosomal protein L14"
"RRM2","6241","ENSG00000171848","ribonucleotide reductase regulatory subunit M2"
"C18orf32","497661","ENSG00000177576","chromosome 18 open reading frame 32"
"RGL3","57139","ENSG00000205517","ral guanine nucleotide dissociation stimulator like 3"
"SRA1","10011","ENSG00000213523","steroid receptor RNA activator 1"
"FAM102A",NA,NA,NA
"VPS26A","9559","ENSG00000122958","VPS26 retromer complex component A"
"RPL41","6171","ENSG00000229117","ribosomal protein L41"
"AGBL5","60509","ENSG00000084693","AGBL carboxypeptidase 5"
"SDHC","6391","ENSG00000143252","succinate dehydrogenase complex subunit C"
"GTF3C2","2976","ENSG00000115207","general transcription factor IIIC subunit 2"
"NIBAN2","64855","ENSG00000136830","niban apoptosis regulator 2"
"UNKL","64718","ENSG00000059145","unk like zinc finger"
"AGAP1","116987","ENSG00000157985","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
"CNTROB","116840","ENSG00000170037","centrobin, centriole duplication and spindle assembly protein"
"ACOT1","641371","ENSG00000184227","acyl-CoA thioesterase 1"
"FAM220A","84792","ENSG00000178397","family with sequence similarity 220 member A"
"ARL4A","10124","ENSG00000122644","ARF like GTPase 4A"
"FOXK1","221937","ENSG00000164916","forkhead box K1"
"PXYLP1","92370","ENSG00000155893","2-phosphoxylose phosphatase 1"
"ARL5A","26225","ENSG00000162980","ARF like GTPase 5A"
"ZNF829","374899","ENSG00000185869","zinc finger protein 829"
"GGPS1","9453","ENSG00000152904","geranylgeranyl diphosphate synthase 1"
"PARD6A","50855","ENSG00000102981","par-6 family cell polarity regulator alpha"
"EIF3B","8662","ENSG00000106263","eukaryotic translation initiation factor 3 subunit B"
"THYN1","29087","ENSG00000151500","thymocyte nuclear protein 1"
"STAU1","6780","ENSG00000124214","staufen double-stranded RNA binding protein 1"
"CNGA4","1262","ENSG00000132259","cyclic nucleotide gated channel subunit alpha 4"
"CYFIP2","26999","ENSG00000055163","cytoplasmic FMR1 interacting protein 2"
"USP14","9097","ENSG00000101557","ubiquitin specific peptidase 14"
"HELZ2","85441","ENSG00000130589","helicase with zinc finger 2"
"PDE4B","5142","ENSG00000184588","phosphodiesterase 4B"
"RUFY3","22902","ENSG00000018189","RUN and FYVE domain containing 3"
"DYNLL1","8655","ENSG00000088986","dynein light chain LC8-type 1"
"NBPF8","728841","ENSG00000270231","NBPF member 8"
"SCML1","6322","ENSG00000047634","Scm polycomb group protein like 1"
"AGPAT3","56894","ENSG00000160216","1-acylglycerol-3-phosphate O-acyltransferase 3"
"SCD5","79966","ENSG00000145284","stearoyl-CoA desaturase 5"
"BTF3","689","ENSG00000145741","basic transcription factor 3"
"PARL","55486","ENSG00000175193","presenilin associated rhomboid like"
"EEF1B2","1933","ENSG00000114942","eukaryotic translation elongation factor 1 beta 2"
"CASTOR1","652968","ENSG00000239282","cytosolic arginine sensor for mTORC1 subunit 1"
"NBPF9","400818","ENSG00000269713","NBPF member 9"
"ZNF630","57232","ENSG00000221994","zinc finger protein 630"
"NPM1","4869","ENSG00000181163","nucleophosmin 1"
"NCKAP5L","57701","ENSG00000167566","NCK associated protein 5 like"
"EIF3C","8663","ENSG00000184110","eukaryotic translation initiation factor 3 subunit C"
"ZNF284","342909","ENSG00000186026","zinc finger protein 284"
"REV1","51455","ENSG00000135945","REV1 DNA directed polymerase"
"SLC38A10","124565","ENSG00000157637","solute carrier family 38 member 10"
"SCN1B","6324","ENSG00000105711","sodium voltage-gated channel beta subunit 1"
"NARF","26502","ENSG00000141562","nuclear prelamin A recognition factor"
"CDC42SE2","56990","ENSG00000158985","CDC42 small effector 2"
"CDC42SE1","56882","ENSG00000197622","CDC42 small effector 1"
"PRPS2","5634","ENSG00000101911","phosphoribosyl pyrophosphate synthetase 2"
"TRIM71","131405","ENSG00000206557","tripartite motif containing 71"
"ZNF718","255403","ENSG00000250312","zinc finger protein 718"
"ALOX15B","247","ENSG00000179593","arachidonate 15-lipoxygenase type B"
"ICAM4","3386","ENSG00000105371","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)"
"C20orf27",NA,NA,NA
"TRIOBP","11078","ENSG00000100106","TRIO and F-actin binding protein"
"BOLA2B","654483","ENSG00000169627","bolA family member 2B"
"TTPAL","79183","ENSG00000124120","alpha tocopherol transfer protein like"
"ATAD3C","219293","ENSG00000215915","ATPase family AAA domain containing 3C"
"SLC25A29","123096","ENSG00000197119","solute carrier family 25 member 29"
"ATP6V1E1","529","ENSG00000131100","ATPase H+ transporting V1 subunit E1"
"MPEG1","219972","ENSG00000197629","macrophage expressed 1"
"ATP6V0B","533","ENSG00000117410","ATPase H+ transporting V0 subunit b"
"ELMO1","9844","ENSG00000155849","engulfment and cell motility 1"
"SRSF5","6430","ENSG00000100650","serine and arginine rich splicing factor 5"
"RGS19","10287","ENSG00000171700","regulator of G protein signaling 19"
"MARK2","2011","ENSG00000072518","microtubule affinity regulating kinase 2"
"NPRL3","8131","ENSG00000103148","NPR3 like, GATOR1 complex subunit"
"THEMIS2","9473","ENSG00000130775","thymocyte selection associated family member 2"
"AREL1","9870","ENSG00000119682","apoptosis resistant E3 ubiquitin protein ligase 1"
"CD151","977","ENSG00000177697","CD151 molecule (Raph blood group)"
"PRSS53","339105","ENSG00000151006","serine protease 53"
"GK5","256356","ENSG00000175066","glycerol kinase 5"
"DNAJB2","3300","ENSG00000135924","DnaJ heat shock protein family (Hsp40) member B2"
"AP1S3","130340","ENSG00000152056","adaptor related protein complex 1 subunit sigma 3"
"KREMEN1","83999","ENSG00000183762","kringle containing transmembrane protein 1"
"SEC14L1","6397","ENSG00000129657","SEC14 like lipid binding 1"
"CCNL2","81669","ENSG00000221978","cyclin L2"
"MAP9","79884","ENSG00000164114","microtubule associated protein 9"
"PICK1","9463","ENSG00000100151","protein interacting with PRKCA 1"
"DPH2","1802","ENSG00000132768","diphthamide biosynthesis 2"
"USP9X","8239","ENSG00000124486","ubiquitin specific peptidase 9 X-linked"
"IAH1","285148","ENSG00000134330","isoamyl acetate hydrolyzing esterase 1 (putative)"
"ZDHHC19","131540","ENSG00000163958","zinc finger DHHC-type palmitoyltransferase 19"
"CREBZF","58487","ENSG00000137504","CREB/ATF bZIP transcription factor"
"PRMT5","10419","ENSG00000100462","protein arginine methyltransferase 5"
"ZMYM5","9205","ENSG00000132950","zinc finger MYM-type containing 5"
"TESMIN","9633","ENSG00000132749","testis expressed metallothionein like protein"
"IL18BP","10068","ENSG00000137496","interleukin 18 binding protein"
"TIRAP","114609","ENSG00000150455","TIR domain containing adaptor protein"
"TNFRSF25","8718","ENSG00000215788","TNF receptor superfamily member 25"
"YIF1B","90522","ENSG00000167645","Yip1 interacting factor homolog B, membrane trafficking protein"
"CHTF8","54921","ENSG00000168802","chromosome transmission fidelity factor 8"
"TYW5","129450","ENSG00000162971","tRNA-yW synthesizing protein 5"
"SNAPC3","6619","ENSG00000164975","small nuclear RNA activating complex polypeptide 3"
"OLAH","55301","ENSG00000152463","oleoyl-ACP hydrolase"
"NBPF10","100132406","ENSG00000271425","NBPF member 10"
"ENTR1","10807","ENSG00000165689","endosome associated trafficking regulator 1"
"DEDD","9191","ENSG00000158796","death effector domain containing"
"EML6","400954","ENSG00000214595","EMAP like 6"
"TMPPE","643853","ENSG00000188167","transmembrane protein with metallophosphoesterase domain"
"CBLN3","643866","ENSG00000139899","cerebellin 3 precursor"
"CRYBG2","55057","ENSG00000176092","crystallin beta-gamma domain containing 2"
"CDC42","998","ENSG00000070831","cell division cycle 42"
"CHIC1","53344","ENSG00000204116","cysteine rich hydrophobic domain 1"
"OXLD1","339229","ENSG00000204237","oxidoreductase like domain containing 1"
"GPX4","2879","ENSG00000167468","glutathione peroxidase 4"
"STRN4","29888","ENSG00000090372","striatin 4"
"FKRP","79147","ENSG00000181027","fukutin related protein"
"ZNF808","388558","ENSG00000198482","zinc finger protein 808"
"PROSER3","148137","ENSG00000167595","proline and serine rich 3"
"ANKRD34A","284615","ENSG00000272031","ankyrin repeat domain 34A"
"ZNF674","641339","ENSG00000251192","zinc finger protein 674"
"ZNF384","171017","ENSG00000126746","zinc finger protein 384"
"INTS6","26512","ENSG00000102786","integrator complex subunit 6"
"SLC4A8","9498","ENSG00000050438","solute carrier family 4 member 8"
"FAM83G","644815","ENSG00000188522","family with sequence similarity 83 member G"
"MEOX1","4222","ENSG00000005102","mesenchyme homeobox 1"
"TCERG1","10915","ENSG00000113649","transcription elongation regulator 1"
"SWI5","375757","ENSG00000175854","SWI5 homologous recombination repair protein"
"FAM3C","10447","ENSG00000196937","FAM3 metabolism regulating signaling molecule C"
"SIRPA","140885","ENSG00000198053","signal regulatory protein alpha"
"ARL16","339231","ENSG00000214087","ARF like GTPase 16"
"CD37","951","ENSG00000104894","CD37 molecule"
"MAPK3","5595","ENSG00000102882","mitogen-activated protein kinase 3"
"FAM133B","257415","ENSG00000234545","family with sequence similarity 133 member B"
"CD68","968","ENSG00000129226","CD68 molecule"
"LGALS9C","654346","ENSG00000171916","galectin 9C"
"MOSPD3","64598","ENSG00000106330","motile sperm domain containing 3"
"NSG1","27065","ENSG00000168824","neuronal vesicle trafficking associated 1"
"HVCN1","84329","ENSG00000122986","hydrogen voltage gated channel 1"
"MLH3","27030","ENSG00000119684","mutL homolog 3"
"NRF1","4899","ENSG00000106459","nuclear respiratory factor 1"
"ARAP1","116985","ENSG00000186635","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1"
"SLC66A1","54896","ENSG00000040487","solute carrier family 66 member 1"
"ACTR3B","57180","ENSG00000133627","actin related protein 3B"
"SLAIN1","122060","ENSG00000139737","SLAIN motif family member 1"
"CEP44","80817","ENSG00000164118","centrosomal protein 44"
"H2AFY",NA,NA,NA
"LFNG","3955","ENSG00000106003","LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase"
"CLDND1","56650","ENSG00000080822","claudin domain containing 1"
"ZNF765","91661","ENSG00000196417","zinc finger protein 765"
"AGTRAP","57085","ENSG00000177674","angiotensin II receptor associated protein"
"PAQR3","152559","ENSG00000163291","progestin and adipoQ receptor family member 3"
"MINDY1","55793","ENSG00000143409","MINDY lysine 48 deubiquitinase 1"
"TYSND1","219743","ENSG00000156521","trypsin like peroxisomal matrix peptidase 1"
"SYCP2L","221711","ENSG00000153157","synaptonemal complex protein 2 like"
